"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"ws-OGDL",158159.565251437,151524.901988924,146079.988654583,141245.377102674,131356.094429814,125845.691085695,113335.642474531,110846.271481883,102822.408492315,93139.7176782328,87692.7764636344,65210.1543173007,61296.9581892483,100832.711515842,108032.685248813,79903.1839406418,118021.692821114,116673.357487843,87492.8385163947,93239.6866518527,65592.8883595307,127335.347934726,79985.9866545938,69296.5128592546,40658.7798447817,40807.1946056005,41455.5762716073,26356.5757349126,25439.4446384874,24666.8589015521,23318.5235682813,22111.5829730242,17511.168665437,17162.7671425434,16514.385476536,1782.69019159319,3031.03214382684,40758.7732258195,16410.5226941699,4241.8421404117,41603.9910324254,41535.228364083,15858.9837877248,158814.796088324,0,1282.47921222671,3148.21619194967,23791.1291621029,23291.1622569143,22267.0177566468,21101.4785183657,20749.9263739954,19970.3206142562,18880.5640671219,18107.9783301871,17118.2151640906,6796.87399476169,60683.1043019194,5448.66069858021,52294.549718885,73845.141921034,103425.945290856,110650.251750807,16165.9839536424,7655.16899294727,17893.9515225022,80441.5544480472,110446.664069,28405.1402375165,41821.1684615866,34633.5287329257,42800.0422035505,26620.7369841507,51623.3949226909,116509.007802983,116509.007802983,116850.340488237,117033.160990645,119088.470013984,114312.30404163,125845.691085695,61554.2458601893,63148.5574936919,77075.4420470841,14848.1605532148,58753.4369092126,58836.2396231646,3786.42721367581,41296.9908665093,26335.5156664986,27232.2322521084,40607.207843525,21828.7934969969,97918.8634201385,116509.007802983,124880.138609489,141203.95133828,114766.7072995,158159.565251437
"ws-OG10",158973.503530513,152338.840268,146893.926933659,142059.315381749,132170.03270889,126659.629364771,114149.580753607,111660.209760959,103636.346771391,93953.6559573085,88506.7147427101,66024.0925963764,62110.8964683239,101646.649794918,108846.623527889,80717.1222197175,118835.63110019,117487.295766919,88306.7767954704,94053.6249309284,66406.8266386064,128149.286213802,80799.9249336695,70110.4511383303,41472.7181238574,41621.1328846762,42269.514550683,27170.5140139883,26253.3829175631,25480.7971806277,24132.461847357,22925.5212520998,18325.1069445127,17976.7054216191,17328.3237556117,1913.91428532624,2665.43995384681,41572.7115048951,17224.4609732456,5358.61829506303,42417.9293115011,42349.1666431587,16672.9220668005,159628.7343674,1282.47921222671,0,3445.04571358665,24605.0674411786,24105.1005359899,23080.9560357225,21915.4167974414,21563.864653071,20784.2588933319,19694.5023461976,18921.9166092628,17932.1534431663,7913.65014941302,61497.0425809951,6565.43685323154,52591.3792405219,74141.971442671,104239.883569932,111464.190029883,16979.9222327181,8771.9451475986,18190.7810441392,80738.3839696842,111260.602348075,28701.9697591534,42635.1067406623,34930.3582545626,43096.8717251875,26917.5665057877,51920.2244443279,117322.946082059,117322.946082059,117664.278767313,117847.09926972,119902.40829306,115126.242320706,126659.629364771,61851.0753818262,63445.3870153288,77372.2715687211,15662.0988322905,58056.6338634248,58139.4365773767,4258.95958524454,40600.1878207214,26632.3451881356,27529.0617737454,41421.1461226007,22125.6230186338,98732.8016992142,117322.946082059,125694.076888565,142017.889617355,115580.645578576,158973.503530513
"ws-SP3",160810.965159675,154176.301897162,148731.388562821,143896.777010912,134007.494338052,128497.090993933,115987.042382769,113497.671390121,105473.808400553,95791.1175864708,90344.1763718724,67861.5542255386,63948.3580974862,103484.11142408,110684.085157051,82554.5838488798,120673.092729352,119324.757396081,90144.2384246327,95891.0865600907,68244.2882677687,129986.747842964,82637.3865628318,71947.9127674926,43310.1797530196,43458.5945138384,44106.9761798452,29007.9756431505,28090.8445467254,27318.25880979,25969.9234765192,24762.9828812621,20162.5685736749,19814.1670507813,19165.7853847739,1531.13142826041,1482.41715946643,43410.1731340574,19061.9226024079,2440.68113127122,44255.3909406633,44186.6282723209,18510.3836959627,161466.195996562,3148.21619194967,3445.04571358665,0,26442.5290703408,25942.5621651522,24918.4176648847,23752.8784266036,23401.3262822333,22621.7205224941,21531.9639753598,20759.378238425,19769.6150723286,4995.71298562121,63334.5042101573,3647.49968943973,49146.3335269353,70696.9257290844,106077.345199094,113301.651659045,18817.3838618803,5854.00798380679,14745.7353305525,77293.3382560975,113098.063977237,25339.7267595188,44472.5683698245,31485.312540976,39651.8260116009,23472.5207922011,48475.1787307413,119160.407711221,119160.407711221,119501.740396475,119684.560898883,121739.869922222,116963.703949868,128497.090993933,58406.0296682396,60000.3413017422,73927.2258551345,17499.5604614527,56102.0370009748,56184.8397149267,1341.02242145273,38645.5909582715,23187.299474549,24084.0160601587,43258.6077517629,18680.5773050472,100570.263328376,119160.407711221,127531.538517727,143855.351246518,117418.107207738,160810.965159675
"ws-25A",137514.939219511,130880.275956998,125435.362622657,120600.751070748,110711.468397888,105201.065053769,92691.0164426051,90201.6454499571,82177.7824603891,72495.0916463069,67048.1504317085,44565.5282853751,40652.3321573227,80188.0854839161,87388.0592168869,59258.5579087161,97377.0667891884,96028.7314559175,66848.2124844688,72595.0606199268,44948.2623276052,106690.7219028,59341.360622668,48651.886827329,20014.1538128561,20162.5685736749,20810.9502396817,2565.44657280974,1648.31547638456,1124.13788130505,941.146526972614,1855.24903901037,6279.96049666593,6804.06486949126,7569.58176878639,25573.8193536961,26822.1613059297,20114.1471938938,9020.49973396175,25548.8898839543,20959.3650004999,20890.6023321575,8752.09200739258,138170.170056398,23791.1291621029,24605.0674411786,26442.5290703408,0,499.96690518863,1524.11140545611,2689.65064373717,3041.20278810753,3820.80854784668,4910.56509498101,5683.15083191575,6672.91399801224,25779.3885788729,40038.4782699939,25634.8432193825,70951.9106159623,92502.5028181117,82781.3192589303,90005.6257188815,8210.82137489941,25306.7829850507,36551.3124195794,99098.9153451248,89802.0380370738,51782.2558298592,21176.5424296611,53953.3113416185,61457.4031006278,45278.0978812278,70280.7558197682,95864.3817710573,95864.3817710573,96205.7144563114,96388.5349587189,98443.8439820582,93667.6780097043,105201.065053769,80211.6067572668,81805.9183907695,95732.8029441618,10992.8351914241,82544.5660713155,82627.3687852675,26004.3048106901,65088.1200286118,44992.8765635757,45889.5931491855,19962.5818115995,40486.154394074,77274.2373882127,95864.3817710573,104235.512577564,120559.325306354,94122.0812675743,137514.939219511
"ws-25",138014.9061247,131380.242862187,125935.329527846,121100.717975936,111211.435303077,105701.031958958,93190.9833477937,90701.6123551457,82677.7493655777,72995.0585514955,67548.1173368971,45065.4951905637,41152.2990625113,80688.0523891047,87888.0261220755,59758.5248139047,97877.033694377,96528.6983611062,67348.1793896574,73095.0275251154,45448.2292327938,107190.688807989,59841.3275278566,49151.8537325176,20514.1207180447,20662.5354788636,21310.9171448703,3065.41347799837,2148.28238157319,1624.10478649368,1065.42382015414,1648.12021704115,5955.69644140902,6596.93604752204,7362.45294681717,25073.8524485074,26322.1944007411,20614.1140990825,8813.37091199253,25048.9229787657,21459.3319056885,21390.5692373461,8544.96318542336,138670.136961587,23291.1622569143,24105.1005359899,25942.5621651522,499.96690518863,0,1024.14450026748,2189.68373854854,2541.2358829189,3320.84164265805,4410.59818979238,5183.18392672712,6172.94709282361,25279.4216736843,40538.4451751825,25134.8763141939,70451.9437107737,92002.5359129231,83281.2861641189,90505.5926240701,8003.6925529302,24806.8160798621,36051.3455143908,98598.9484399362,90302.0049422624,51282.2889246706,21676.5093348497,53453.3444364299,60957.4361954391,44778.1309760392,69780.7889145796,96364.3486762459,96364.3486762459,96705.6813615,96888.5018639075,98943.8108872468,94167.6449148929,105701.031958958,79711.6398520782,81305.9514855809,95232.8360389732,10785.7063694549,82044.5991661269,82127.4018800788,25504.3379055015,64588.1531234231,44492.9096583871,45389.6262439969,20462.5487167881,39986.1874888854,77774.2042934013,96364.3486762459,104735.479482752,121059.292211543,94622.0481727629,138014.9061247
"ws-23",138790.642483111,132155.979220598,126711.065886257,121876.454334348,111987.171661488,106476.76831737,93966.7197062053,91477.3487135573,83453.4857239893,73770.7949099071,68323.8536953087,45841.2315489753,41928.0354209229,81463.7887475163,88663.7624804871,60534.2611723163,98652.7700527886,97304.4347195177,68123.915748069,73870.763883527,46223.9655912054,107966.4251664,60617.0638862682,49927.5900909292,21289.8570764563,21438.2718372751,22086.6535032819,4089.55797826585,3172.42688184067,2399.84114490531,1548.32209534632,1223.93600300003,5282.95764100484,5924.19724711786,6689.71414641299,24049.70794824,25298.0499004736,21389.8504574941,8140.63211158835,24024.7784784982,22235.0682641001,22166.3055957577,7872.22438501918,139445.873319998,22267.0177566468,23080.9560357225,24918.4176648847,1524.11140545611,1024.14450026748,0,1165.53923828107,1682.69681055535,2296.69714239057,3386.45368952491,4159.03942645967,5148.8025925562,24255.2771734168,41314.1815335941,24110.7318139264,69427.7992105062,90978.3914126556,84057.0225225305,91281.3289824817,7330.95375252601,23782.6715795946,35027.2010141233,97574.8039396687,91077.741300674,50258.1444244031,22452.2456932613,52429.1999361624,59933.2916951717,43753.9864757718,68756.6444143121,97140.0850346575,97140.0850346575,97481.4177199116,97664.2382223191,99719.5472456584,94943.3812733045,106476.76831737,78687.4953518107,80281.8069853134,94208.6915387057,10112.9675690507,81020.4546658594,81103.2573798114,24480.193405234,63564.0086231557,43468.7651581196,44365.4817437294,21238.2850751997,38962.0429886179,78549.9406518129,97140.0850346575,105511.215841164,121835.028569954,95397.7845311745,138790.642483111
"ws-A5",139624.970865585,132990.307603072,127545.39426873,122710.782716821,112821.500043961,107311.096699843,94801.0480886785,92311.6770960305,84287.8141064625,74605.1232923803,69158.1820777819,46675.5599314485,42762.3638033961,82298.1171299895,89498.0908629603,61368.5895547895,99487.0984352618,98138.763101991,68958.2441305422,74705.0922660002,47058.2939736786,108800.753548874,61451.3922687414,50761.9184734024,22124.1854589296,22272.6002197484,22920.9818857552,5255.09721654692,4337.96612012173,3565.38038318634,2382.65047781954,1589.72345232219,4468.82410258703,5110.06370870006,5875.58060799519,22884.1687099589,24132.5106621926,22224.1788399673,7326.49857317054,22859.2392402171,23069.3966465733,23000.6339782309,7058.09084660137,140280.201702472,21101.4785183657,21915.4167974414,23752.8784266036,2689.65064373717,2189.68373854854,1165.53923828107,0,848.368428082159,1131.15790410957,2220.91445124387,3227.77065475417,4217.53382085069,23089.7379351358,42148.5099160673,22945.1925756453,68262.2599722251,89812.8521743745,84891.3509050037,92115.6573649549,6516.82021410821,22617.1323413135,33861.6617758423,96409.2647013876,91912.0696831472,49092.6051861221,23286.5740757345,51263.6606978813,58767.7524568906,42588.4472374907,67591.1051760311,97974.4134171307,97974.4134171307,98315.7461023848,98498.5666047923,100553.875628132,95777.7096557777,107311.096699843,77521.9561135296,79116.2677470323,93043.1523004246,9298.83403063286,79854.9154275783,79937.7181415303,23314.6541669529,62398.4693848746,42303.2259198386,43199.9425054484,22072.6134576729,37796.5037503369,79384.2690342861,97974.4134171307,106345.544223637,122669.356952427,96232.1129136477,139624.970865585
"ws-PPC",140473.339293667,133838.676031154,128393.762696813,123559.151144903,113669.868472044,108159.465127925,95649.4165167607,93160.0455241127,85136.1825345447,75453.4917204625,70006.5505058641,47523.9283595306,43610.7322314782,83146.4855580717,90346.4592910425,62216.9579828716,100335.466863344,98987.1315300731,69806.6125586244,75553.4606940824,47906.6624017607,109649.121976956,62299.7606968235,51610.2869014845,22972.5538870117,23120.9686478305,23769.3503138373,5606.64936091727,4689.51826449209,4082.53795546062,3231.01890590167,2438.09188040431,4820.08335794323,5461.32296405626,6226.83986335139,22532.6165655885,23780.9585178222,23072.5472680494,7677.75782852674,22507.6870958468,23917.7650746554,23849.002406313,7409.35010195757,141128.570130554,20749.9263739954,21563.864653071,23401.3262822333,3041.20278810753,2541.2358829189,1682.69681055535,848.368428082159,0,1482.41715946577,2513.60608995622,3579.02991011037,4568.79307620689,22738.1857907654,42996.8783441494,22593.640431275,67910.7078278548,89461.3000300042,85739.7193330859,92964.0257930371,6868.07946946441,22265.5801969432,33510.109631472,96057.7125570173,92760.4381112293,48741.0530417517,24134.9425038167,50912.108553511,58416.2003125202,42236.8950931203,67239.5530316607,98822.7818452128,98822.7818452128,99164.1145304669,99346.9350328745,101402.244056214,96626.0780838598,108159.465127925,77170.4039691593,78764.7156026619,92691.6001560543,9650.09328598907,79503.363283208,79586.1659971599,22963.1020225826,62046.9172405042,41951.6737754682,42848.390361078,22920.981885755,37444.9516059665,80232.6374623682,98822.7818452128,107193.912651719,123517.72538051,97080.4813417298,140473.339293667
"ws-A3",140093.707058078,133459.043795565,128014.130461224,123179.518909315,113290.236236455,107779.832892337,95269.7842811724,92780.4132885244,84756.5502989564,75073.8594848742,69626.9182702758,47144.2961239423,43231.0999958899,82766.8533224833,89966.8270554542,61837.3257472833,99955.8346277557,98607.4992944848,69426.980323036,75173.828458494,47527.0301661724,109269.489741367,61920.1284612352,51230.6546658962,22592.9216514234,22741.3364122422,23389.718078249,6386.25512065642,5469.12402423124,4696.53828729585,3348.20295402513,2141.26235876796,3337.66619847746,3978.90580459048,4744.42270388561,21753.0108058494,23001.3527580831,22692.9150324611,6195.34066906097,21728.0813361076,23538.1328390671,23469.3701707247,5926.9329424918,140748.937894965,19970.3206142562,20784.2588933319,22621.7205224941,3820.80854784668,3320.84164265805,2296.69714239057,1131.15790410957,1482.41715946577,0,1089.75654713433,2096.6127506446,3086.37591674112,21958.5800310262,42617.2461085612,21814.0346715358,67131.1020681157,88681.694270265,85360.0870974975,92584.3935574487,5385.66230999864,21485.974437204,32730.5038717328,95278.1067972781,92380.8058756409,47961.4472820126,23755.3102682283,50132.5027937719,57636.5945527811,41457.2893333812,66459.9472719216,98443.1496096245,98443.1496096245,98784.4822948785,98967.3027972861,101022.611820625,96246.4458482715,107779.832892337,76390.7982094201,77985.1098429228,91911.9943963151,8167.67612652329,78723.7575234688,78806.5602374208,22183.4962628434,61267.3114807651,41172.0680157291,42068.7846013389,22541.3496501667,36665.3458462274,79853.0052267799,98443.1496096245,106814.280416131,123138.093144921,96700.8491061415,140093.707058078
"ws-A1",140603.844607548,133969.181345035,128524.268010694,123689.656458784,113800.373785925,108289.970441806,95779.9218306417,93290.5508379937,85266.6878484257,75583.9970343435,70137.0558197451,47654.4336734116,43741.2375453592,83276.9908719526,90476.9646049235,62347.4632967526,100465.972177225,99117.6368439541,69937.1178725053,75683.9660079633,48037.1677156417,109779.627290837,62430.2660107045,51740.7922153655,23103.0592008926,23251.4739617115,23899.8556277183,7476.01166779075,6558.88057136557,5786.29483443018,4437.95950115946,3231.01890590229,2306.47726798701,2947.71687410003,3713.23377339516,20663.2542587151,21911.5962109487,23203.0525819304,5164.15173857052,20638.3247889733,24048.2703885364,23979.507720194,4895.74401200135,141259.075444435,18880.5640671219,19694.5023461976,21531.9639753598,4910.56509498101,4410.59818979238,3386.45368952491,2220.91445124387,2513.60608995622,1089.75654713433,0,1065.42382015414,2055.18698625067,20868.8234838919,43127.3836580305,20724.2781244015,66041.3455209813,87591.9377231306,85870.2246469668,93094.531106918,4354.47337950819,20396.2178900697,31640.7473245985,94188.3502501437,92890.9434251102,46871.6907348783,24265.4478176976,49042.7462466376,56546.8380056468,40367.5327862469,65370.1907247873,98953.2871590937,98953.2871590937,99294.6198443478,99477.4403467553,101532.749370095,96756.5833977407,108289.970441806,75301.0416622858,76895.3532957884,90822.2378491807,7136.48719603284,77634.0009763344,77716.8036902864,21093.7397157091,60177.5549336308,40082.3114685948,40979.0280542046,23051.487199636,35575.5892990931,80363.1427762491,98953.2871590937,107324.4179656,123648.23069439,97210.9866556107,140603.844607548
"ws-15A",140631.205918915,133996.542656402,128551.629322061,123717.017770151,113827.735097292,108317.331753173,95807.2831420087,93317.9121493607,85294.0491597927,75611.3583457105,70164.4171311121,47681.7949847787,43768.5988567263,83304.3521833197,90504.3259162905,62374.8246081196,100493.333488592,99144.9981553212,69964.4791838724,75711.3273193304,48064.5290270088,109806.988602204,62457.6273220716,51768.1535267325,23130.4205122597,23278.8352730785,23927.2169390853,8248.59740472549,7331.4663083003,6558.88057136491,5210.54523809419,4003.60464283703,1241.05344783286,1882.29305394589,2647.80995324102,19890.6685217803,21139.010474014,23230.4138932974,4098.72791841719,19865.7390520386,24075.6316999035,24006.8690315611,3830.3201918472,141286.436755802,18107.9783301871,18921.9166092628,20759.378238425,5683.15083191575,5183.18392672712,4159.03942645967,3227.77065475417,3579.02991011037,2096.6127506446,1065.42382015414,0,989.763166096525,20096.2377469572,43154.7449693976,19951.6923874667,65268.7597840466,86819.3519861958,85897.5859583338,93121.892418285,3289.04955935404,19623.632153135,30868.1615876638,93415.764513209,92918.3047364773,46099.1049979436,24292.8091290647,48270.1605097029,55774.2522687121,39594.9470493122,64597.6049878526,98980.6484704608,98980.6484704608,99321.9811557148,99504.8016581224,101560.110681462,96783.9447091078,108317.331753173,74528.455925351,76122.7675588536,90049.652112246,6071.0633758787,76861.4152393997,76944.2179533516,20321.1539787744,59404.9691966961,39309.7257316601,40206.4423172699,23078.8485110031,34803.0035621584,80390.5040876162,98980.6484704608,107351.779276967,123675.592005757,97238.3479669778,140631.205918915
"ws-15",141041.350087346,134406.686824833,128961.773490492,124127.161938583,114237.879265723,108727.475921604,96217.4273104403,93728.0563177922,85704.1933282243,76021.5025141421,70574.5612995437,48091.9391532102,44178.7430251578,83714.4963517512,90914.4700847221,62784.9687765511,100903.477657024,99555.1423237527,70374.6233523039,76121.4714877619,48474.6731954403,110217.132770635,62867.7714905031,52178.297695164,23540.5646806912,23688.9794415101,24337.3611075168,9238.36057082198,8321.22947439679,7548.6437374614,6200.30840419068,4993.36780893352,806.967071106144,1306.78753178763,1740.89831593218,18900.9053556838,20149.2473079175,23640.558061729,3688.92545383349,18875.9758859421,24485.775868335,24417.0131999926,2840.55702575068,141696.580924233,17118.2151640906,17932.1534431663,19769.6150723286,6672.91399801224,6172.94709282361,5148.8025925562,4217.53382085069,4568.79307620689,3086.37591674112,2055.18698625067,989.763166096525,0,19106.4745808607,43564.8891378291,18961.9292213702,64278.9966179502,85829.5888200993,86307.7301267653,93532.0365867165,2299.28639325779,18633.8689870385,29878.3984215673,92426.0013471125,93328.4489049088,45109.3418318471,24702.9532974962,47280.3973436064,54784.4891026157,38605.1838832158,63607.8418217561,99390.7926388923,99390.7926388923,99732.1253241464,99914.9458265539,101970.254849893,97194.0888775393,108727.475921604,73538.6927592545,75133.0043927571,89059.8889461494,5081.30020978217,75871.6520733032,75954.4547872551,19331.3908126779,58415.2060305996,38319.9625655636,39216.6791511734,23488.9926794346,33813.2403960619,80800.6482560477,99390.7926388923,107761.923445399,124085.736174189,97648.4921354093,141041.350087346
"ws-W6",160147.824668207,153513.161405694,148068.248071353,143233.636519444,133344.353846584,127833.950502465,115323.901891301,112834.530898653,104810.667909085,95127.9770950029,89681.0358804045,67198.4137340708,63285.2176060183,102820.970932612,110020.944665583,81891.4433574119,120009.952237884,118661.616904614,89481.0979331648,95227.9460686228,67581.1477763009,129323.607351496,81974.2460713639,71284.7722760247,42647.0392615518,42795.4540223706,43443.8356883773,28344.8351516827,27427.7040552575,26655.1183183221,25306.7829850514,24099.8423897942,19499.428082207,19151.0265593134,18502.6448933061,6292.57394730616,6478.13014508764,42747.0326425895,18398.7821109402,2555.03185434999,43592.2504491955,43523.4877808531,17847.2432044948,160803.055505094,6796.87399476169,7913.65014941302,4995.71298562121,25779.3885788729,25279.4216736843,24255.2771734168,23089.7379351358,22738.1857907654,21958.5800310262,20868.8234838919,20096.2377469572,19106.4745808607,0,62671.3637186897,1348.21329618148,46083.3518905624,67633.9440927115,105414.204707626,112638.511167577,18154.2433704125,941.146526973273,11682.7536941795,74230.3566197246,112434.923485769,26002.8672509866,43809.4278783567,28422.330904603,36588.8443752279,20409.539155828,45412.1970943683,118497.267219753,118497.267219753,118838.599905007,119021.420407415,121076.729430754,116300.5634584,127833.950502465,55343.0480318667,56937.3596653693,70864.2442187616,18161.2633932163,56765.1774924426,56847.9802063946,3654.69056416848,39308.7314497393,20124.3178381759,21021.0344237857,42595.4672602951,15617.5956686741,99907.1228369084,118497.267219753,126868.398026259,143192.21075505,116754.96671627,160147.824668207
"ak-47",100300.461901045,93665.7986385323,88220.8853041912,83386.273752282,73496.9910794223,67986.5877353035,55476.5391241395,52987.1681314915,44963.3051419237,35280.6143278416,29833.6731132432,7351.05096690964,3437.85483885719,42973.6081654507,50173.5818984213,22044.0805902507,60162.5894707227,58814.2541374519,29633.7351660035,35380.5833014615,7733.78500913972,69476.2445843344,22126.8833042027,11437.4095088635,20438.3380268977,20786.739549792,20635.174167497,37804.2425529933,38886.9790773224,38914.3403886888,39765.8594382478,40558.7864637452,43171.9356364827,43520.3371593763,44168.7188253836,62465.7944935126,63714.1364457462,19924.3310761002,44272.5816077496,62440.865023771,20983.5756903906,21714.76007035,44824.1205141948,100955.692737932,60683.1043019194,61497.0425809951,63334.5042101573,40038.4782699939,40538.4451751825,41314.1815335941,42148.5099160673,42996.8783441494,42617.2461085612,43127.3836580305,43154.7449693976,43564.8891378291,62671.3637186897,0,62526.8183591991,107843.885755779,129394.477957929,45566.8419404647,52791.1484004159,44517.1203482772,62198.7581248673,73443.2875593962,135990.890484942,52587.5607186081,88674.2309696762,20600.7928333254,90845.2864814355,98349.3782404449,82170.0730210447,107172.730959585,58649.9044525916,58649.9044525916,58991.2371378457,59174.0576402532,61229.3666635925,56453.2006912386,67986.5877353035,117103.581897084,118697.893530586,132624.778083979,46010.6465986364,119436.541211132,119519.343925084,62896.2799505067,101980.095168429,81884.8517033926,82781.5682890024,20986.7263118674,77378.1295338908,40059.7600697472,58649.9044525916,67021.0352590978,83344.847987888,56907.6039491086,100300.461901045
"ws-WN2",160003.279308717,153368.616046204,147923.702711862,143089.091159953,133199.808487094,127689.405142975,115179.356531811,112689.985539163,104666.122549595,94983.4317355125,89536.4905209141,67053.8683745803,63140.6722465279,102676.425573122,109876.399306092,81746.8979979215,119865.406878394,118517.071545123,89336.5525736743,95083.4007091323,67436.6024168104,129179.061992006,81829.7007118734,71140.2269165342,42502.4939020613,42650.9086628801,43299.2903288869,28200.2897921922,27283.158695767,26510.5729588316,25162.2376255609,23955.2970303038,19354.8827227166,19006.481199823,18358.0995338156,4944.36065112468,5129.91684890617,42602.487283099,18254.2367514495,1206.81855816851,43447.705089705,43378.9424213626,17702.6978450044,160658.510145604,5448.66069858021,6565.43685323154,3647.49968943973,25634.8432193825,25134.8763141939,24110.7318139264,22945.1925756453,22593.640431275,21814.0346715358,20724.2781244015,19951.6923874667,18961.9292213702,1348.21329618148,62526.8183591991,0,47138.7271035244,68689.3193056735,105269.659348136,112493.965808087,18009.698010922,2206.50829436706,12738.1289071415,75285.7318326866,112290.378126279,26147.4126104771,43664.8825188663,29477.706117565,37644.2195881899,21464.91436879,46467.5723073303,118352.721860263,118352.721860263,118694.054545517,118876.875047924,120932.184071263,116156.01809891,127689.405142975,56398.4232448287,57992.7348783313,71919.6194317236,17105.8881802543,56909.7228519331,56992.525565885,2306.47726798701,39453.2768092297,21179.6930511379,22076.4096367477,42450.9219008046,16672.9708816362,99762.577477418,118352.721860263,126723.852666769,143047.665395559,116610.42135678,160003.279308716
"bpns-WENDUINEBANKW",205320.346705297,198685.683442784,193240.770108443,188406.158556534,178516.875883674,173006.472539555,160496.423928391,158007.052935743,149983.189946175,140300.499132093,134853.557917494,112370.935771161,108457.739643108,147993.492969702,155193.466702673,127063.965394502,165182.474274974,163834.138941704,134653.619970255,140400.468105713,112753.669813391,174496.129388586,127146.768108454,116457.294313115,87819.5612986414,87967.9760594602,88616.3577254671,73517.3571887721,72600.2260923469,71827.6403554115,70479.3050221407,69272.3644268836,64671.9501192965,64323.5485964029,63675.1669303956,50677.4649551957,49925.9392866751,87919.5546796791,64482.1340015024,48052.7075784735,88764.7724862852,88696.0098179429,63433.7788113442,205975.577542184,52294.549718885,52591.3792405219,49146.3335269353,70951.9106159623,70451.9437107737,69427.7992105062,68262.2599722251,67910.7078278548,67131.1020681157,66041.3455209813,65268.7597840466,64278.9966179502,46083.3518905624,107843.885755779,47138.7271035244,0,21550.5922021497,150586.726744716,157811.033204667,63326.7654075019,45810.7330588156,34400.5981963831,28147.0047291626,157607.445522859,25880.7084472612,88981.9499154465,19242.3466353447,10724.4274648563,25673.8127347346,6016.97534600827,163669.789256843,163669.789256843,164011.121942097,164193.942444505,166249.251467844,161473.08549549,173006.472539555,15138.6888318989,12344.4566259437,24780.8923281995,64244.6152837784,44582.4103277112,44782.3482749509,48508.1225052092,35945.3723159888,25959.0340523867,25238.0203167086,87767.9892973848,30465.7562218885,145079.644873998,163669.789256843,172040.920063349,188364.73279214,161927.48875336,205320.346705297
"bpns-Whitley",226870.938907446,220236.275644933,214791.362310592,209956.750758683,200067.468085823,194557.064741705,182047.01613054,179557.645137892,171533.782148324,161851.091334242,156404.150119644,133921.52797331,130008.331845257,169544.085171851,176744.058904822,148614.557596651,186733.066477124,185384.731143853,156204.212172404,161951.060307862,134304.26201554,196046.721590736,148697.360310603,138007.886515264,109370.153500791,109518.568261609,110166.949927616,95067.9493909214,94150.8182944963,93378.2325575608,92029.8972242901,90822.9566290329,86222.5423214457,85874.140798552,85225.7591325447,72228.0571573447,71476.5314888242,109470.146881828,86032.7262036514,69603.2997806225,110315.364688434,110246.602020092,84984.3710134932,227526.169744333,73845.141921034,74141.971442671,70696.9257290844,92502.5028181117,92002.5359129231,90978.3914126556,89812.8521743745,89461.3000300042,88681.694270265,87591.9377231306,86819.3519861958,85829.5888200993,67633.9440927115,129394.477957929,68689.3193056735,21550.5922021497,0,172137.318946866,179361.625406817,84877.3576096513,67361.3252609645,55951.190398532,6596.41252701325,179158.037725009,47314.1654161228,110532.542117596,40675.8036042065,32157.8844337182,47224.4049368836,22221.7469983434,185220.381458993,185220.381458993,185561.714144247,185744.534646654,187799.843669994,183023.67769764,194557.064741705,23477.3108398266,18427.5098243349,4969.15711904268,85795.2074859278,61624.7362708261,61824.6742180658,70058.7147073582,57378.8292848503,47509.6262545357,46788.6125188577,109318.581499535,52016.3484240374,166630.237076148,185220.381458993,193591.512265499,209915.324994289,183478.08095551,226870.938907447
